scene,stride,nf,ndyn,auroc_A,auroc_flow
alley_1,1,5,1917,0.8092148021725486,0.9273697677453546
cave_2,1,5,2989,0.9321971348829288,0.7175431691553267
market_2,1,5,2466,0.6567696149121945,0.9633467001836261
market_5,1,5,2807,0.6249672299864443,0.21699471559197245
ambush_4,1,5,928,0.7937021072796935,0.11840630757915198
temple_3,1,5,1842,0.5759725310147057,0.17878644840344438
alley_1,3,5,2221,0.8327459790832281,0.9515114790374901
cave_2,3,5,2528,0.8155729536803147,0.5471069986138573
market_2,3,5,2361,0.8036690381720274,0.9129895099224793
market_5,3,5,2594,0.5338555888711344,0.46317646480177754
ambush_4,3,5,1323,0.5657916181080666,0.5783805368096774
temple_3,3,5,1178,0.7026106489189746,0.14066581488437907
alley_1,5,5,1753,0.8751633483381908,0.9117190766786483
cave_2,5,5,2125,0.8191935322292834,0.6076024168049338
market_2,5,5,2426,0.7745639125378748,0.9677602946887549
market_5,5,5,1980,0.5286213549677323,0.44802333681644024
ambush_4,5,5,1475,0.6596438701544279,0.6516840716426202
temple_3,5,5,1762,0.5595946999043057,0.37011652457166816
alley_1,7,5,1685,0.8574149681281575,0.966459453776552
cave_2,7,5,1825,0.7700139602316762,0.5019725734012357
market_2,7,5,2313,0.7725078091797217,0.9479619486645683
market_5,7,5,1747,0.646930087432798,0.6178835426557572
ambush_4,7,5,736,0.7759435375801425,0.6197171653993447
temple_3,7,5,2027,0.6206184496492233,0.6132284849476709
alley_1,9,5,1760,0.8586910980217827,0.9601004667703934
cave_2,9,5,1063,0.8175948110957785,0.49009052214674076
market_2,9,5,1782,0.6704794316350094,0.9401652565901357
market_5,9,5,1421,0.6430960091315496,0.8602093454914634
ambush_4,9,4,657,0.7256753322449566,0.5431596626584568
temple_3,9,5,1502,0.6463612281250329,0.21884918613352822
