method,K,edges,ate_cm,rot
backbone,0,29,59.700814484257336,24.548605003660974
confidence,5,34,28.285833197863663,16.42156640884822
confidence,10,39,26.532203213624594,15.951160209490741
confidence,20,49,30.115380839593016,16.710743373327286
confidence,40,69,30.152284764103282,16.719909235394006
leverage,5,34,26.151530114935497,16.604082815100043
leverage,10,39,76.54219476479382,105.94631668249325
leverage,20,49,22.23761545835938,9.34315188492224
leverage,40,69,21.86476286655542,8.935621934520807
oracle,5,34,28.168477186821722,16.63995968709618
oracle,10,39,36.35040756368271,12.449614929221497
oracle,20,49,30.077156189829367,9.516612336903348
oracle,40,69,23.425307760976892,5.951077691563502
random,5,34,47.19854620950042,12.47257680147717
random,10,39,30.609541448841888,9.777308444821946
random,20,49,32.7593872042667,9.280358016050993
random,40,69,70.8707823616951,31.870864978026127
