rank,scene,frame,boundary_reduction,all_reduction
0,market_6,0009,5327.00719,12027.95829
1,market_6,0007,5210.91494,13874.16032
2,cave_2,0005,4309.31833,12793.60318
3,market_6,0003,2924.40854,6168.23078
4,market_6,0005,2363.55760,10219.15742
5,temple_3,0019,1.51249,1.90673
6,temple_3,0033,1.33544,1.34176
7,temple_3,0021,0.85263,1.24385
8,ambush_2,0007,0.66998,49.84923
9,temple_3,0015,0.59719,0.88006
10,temple_2,0027,0.54302,4.97195
11,alley_1,0013,0.44055,0.64841
12,temple_3,0031,0.43701,0.45162
13,temple_2,0033,0.37023,1.65666
14,temple_3,0009,0.36573,0.63915
15,temple_3,0013,0.35971,0.66496
16,temple_2,0035,0.34169,1.42950
17,bandage_2,0011,0.27013,0.27668
18,bandage_2,0009,0.23988,0.24864
19,temple_2,0025,0.23519,0.88235
20,temple_2,0031,0.20639,0.55001
21,cave_4,0029,0.16143,0.18031
22,cave_4,0033,0.16027,0.19668
23,cave_4,0031,0.15987,0.18309
24,ambush_4,0005,0.12158,0.11318
25,temple_3,0029,0.11463,0.17937
26,mountain_1,0011,0.11334,0.29041
27,bandage_2,0007,0.11145,0.13587
28,cave_4,0035,0.11017,0.11242
29,mountain_1,0023,0.10890,0.39613
30,mountain_1,0005,0.10838,0.16074
31,bandage_2,0003,0.10629,0.10539
32,alley_2,0005,0.09919,0.16419
33,market_5,0011,0.09850,0.17223
34,bandage_2,0015,0.09779,0.07086
35,mountain_1,0025,0.09184,0.35357
36,ambush_5,0019,0.07974,0.76780
37,mountain_1,0031,0.07805,0.17967
38,mountain_1,0017,0.07358,0.26578
39,temple_3,0025,0.07317,0.05863
40,mountain_1,0007,0.07293,0.15268
41,mountain_1,0019,0.07058,0.30582
42,market_5,0005,0.06970,0.11226
43,mountain_1,0027,0.06921,0.21105
44,alley_2,0025,0.06851,0.11174
45,mountain_1,0035,0.06728,0.16280
46,bandage_2,0017,0.06669,0.03100
47,mountain_1,0033,0.06553,0.13881
48,market_5,0013,0.06357,0.18324
49,mountain_1,0009,0.06221,0.13112
50,bandage_2,0013,0.06179,0.05459
51,bandage_2,0019,0.06076,0.03104
52,bandage_2,0033,0.05902,0.03236
53,bandage_2,0029,0.05624,0.02293
54,ambush_5,0027,0.05607,0.38309
55,temple_3,0011,0.05318,0.10771
56,bandage_2,0001,0.05200,0.04307
57,ambush_4,0013,0.05151,0.04368
58,bandage_2,0027,0.05033,0.01646
59,cave_4,0013,0.04827,0.05328
60,bandage_2,0025,0.04784,0.01754
61,alley_1,0015,0.04741,0.07116
62,bandage_2,0023,0.04072,0.00909
63,bandage_2,0021,0.03961,0.00645
64,ambush_5,0003,0.03552,0.09221
65,sleeping_2,0029,0.03252,0.02370
66,sleeping_2,0033,0.02983,0.01872
67,cave_2,0025,0.02973,-0.00920
68,cave_4,0025,0.02950,0.02606
69,cave_4,0023,0.02948,0.03056
70,sleeping_2,0027,0.02894,0.01646
71,bamboo_2,0029,0.02795,0.01214
72,shaman_2,0013,0.02761,0.01161
73,alley_2,0017,0.02711,0.04209
74,cave_4,0011,0.02706,0.01046
75,sleeping_2,0035,0.02658,0.01895
76,cave_4,0027,0.02651,0.03828
77,temple_2,0019,0.02521,0.08894
78,cave_4,0017,0.02431,0.02537
79,alley_2,0003,0.02419,0.04027
80,market_6,0023,0.02391,0.04996
81,cave_2,0003,0.02356,0.01905
82,ambush_4,0017,0.02340,-0.02785
83,bamboo_2,0025,0.02326,-0.00035
84,market_6,0025,0.02286,0.06679
85,sleeping_2,0031,0.02265,0.01524
86,sleeping_2,0023,0.02093,0.01343
87,cave_2,0001,0.01835,0.02033
88,cave_4,0021,0.01807,0.02370
89,alley_2,0019,0.01753,0.02550
90,bamboo_2,0023,0.01746,0.01604
91,mountain_1,0003,0.01744,0.01018
92,cave_4,0015,0.01692,0.01430
93,market_5,0033,0.01635,0.00899
94,cave_2,0021,0.01633,0.00617
95,alley_1,0017,0.01555,0.02496
96,ambush_4,0011,0.01551,0.00804
97,cave_2,0027,0.01497,-0.03662
98,sleeping_2,0025,0.01461,0.00487
99,market_5,0035,0.01450,0.00359
100,shaman_2,0009,0.01440,0.00913
101,market_6,0021,0.01344,0.03435
102,sleeping_2,0019,0.01307,0.00471
103,alley_2,0015,0.01282,0.01800
104,market_5,0015,0.01261,-0.01504
105,bamboo_1,0025,0.01183,0.02184
106,shaman_2,0007,0.01151,0.00573
107,mountain_1,0013,0.01139,0.01138
108,shaman_2,0021,0.01125,-0.00203
109,shaman_2,0017,0.01100,-0.00336
110,alley_1,0011,0.01089,0.04163
111,ambush_5,0001,0.01085,0.00955
112,ambush_6,0005,0.01084,0.01914
113,cave_2,0029,0.01076,-0.02713
114,cave_4,0005,0.01076,0.00372
115,market_5,0031,0.01065,-0.00991
116,bamboo_1,0027,0.01053,0.02833
117,mountain_1,0015,0.01008,-0.00086
118,cave_4,0003,0.00928,0.00442
119,bamboo_1,0023,0.00925,0.04029
120,cave_2,0019,0.00917,0.00241
121,shaman_2,0019,0.00901,-0.00425
122,temple_2,0007,0.00853,0.02747
123,market_6,0019,0.00823,0.02318
124,bamboo_1,0019,0.00807,0.02470
125,shaman_3,0035,0.00751,0.00755
126,alley_2,0011,0.00733,0.01036
127,alley_1,0019,0.00668,0.01488
128,cave_2,0007,0.00665,-0.01039
129,temple_2,0011,0.00655,-0.05573
130,alley_2,0023,0.00645,0.00497
131,sleeping_1,0001,0.00594,0.00725
132,ambush_5,0009,0.00567,-0.34243
133,bamboo_1,0013,0.00566,0.05263
134,market_6,0015,0.00526,0.00073
135,sleeping_1,0007,0.00520,0.00594
136,shaman_2,0015,0.00519,-0.00498
137,bamboo_1,0031,0.00495,0.02419
138,cave_2,0035,0.00493,0.03981
139,market_5,0023,0.00486,-0.00485
140,shaman_2,0005,0.00482,-0.00244
141,shaman_2,0031,0.00455,-0.01012
142,bamboo_1,0029,0.00434,0.00456
143,market_5,0027,0.00433,0.01277
144,shaman_3,0005,0.00430,0.00136
145,bandage_1,0021,0.00394,0.00254
146,sleeping_1,0011,0.00394,0.00456
147,temple_2,0013,0.00355,-0.01358
148,alley_2,0021,0.00316,0.00500
149,shaman_2,0029,0.00308,-0.01530
150,alley_2,0013,0.00291,0.00195
151,bamboo_1,0021,0.00275,0.02989
152,temple_2,0015,0.00261,-0.09607
153,market_6,0013,0.00246,-0.00093
154,ambush_7,0003,0.00206,0.00155
155,market_5,0017,0.00167,-0.02846
156,alley_2,0001,0.00153,0.00123
157,ambush_6,0001,0.00152,0.00583
158,market_6,0011,0.00144,0.00209
159,bandage_1,0023,0.00143,0.00166
160,bamboo_1,0011,0.00143,0.02660
161,ambush_7,0009,0.00138,0.00224
162,shaman_3,0001,0.00126,-0.00045
163,shaman_3,0019,0.00104,-0.00186
164,ambush_4,0019,0.00094,-0.00069
165,bandage_1,0015,0.00084,0.00003
166,sleeping_1,0013,0.00080,0.00187
167,shaman_3,0007,0.00055,-0.00257
168,shaman_3,0013,0.00053,-0.00480
169,shaman_3,0011,0.00053,-0.00515
170,alley_2,0035,0.00031,0.01360
171,ambush_7,0025,0.00028,-0.00846
172,sleeping_1,0023,0.00024,0.00203
173,market_5,0021,0.00023,-0.03858
174,cave_2,0031,0.00017,0.04489
175,market_5,0019,0.00011,-0.00050
176,bandage_1,0025,-0.00034,0.00492
177,sleeping_1,0025,-0.00042,0.00163
178,ambush_4,0015,-0.00072,-0.00648
179,sleeping_1,0031,-0.00072,0.00123
180,sleeping_1,0029,-0.00080,0.00128
181,sleeping_1,0021,-0.00087,0.00111
182,ambush_7,0005,-0.00090,-0.00011
183,ambush_7,0027,-0.00120,-0.00935
184,ambush_7,0029,-0.00123,-0.01276
185,sleeping_1,0027,-0.00126,0.00149
186,ambush_7,0031,-0.00144,-0.00946
187,ambush_6,0003,-0.00165,-0.00698
188,alley_2,0027,-0.00170,-0.01063
189,ambush_7,0001,-0.00170,-0.00243
190,shaman_3,0017,-0.00199,-0.00227
191,alley_2,0029,-0.00209,-0.01021
192,shaman_2,0033,-0.00212,-0.01298
193,ambush_5,0035,-0.00217,-0.13991
194,sleeping_1,0015,-0.00235,0.00037
195,ambush_5,0005,-0.00250,-0.04319
196,bamboo_1,0003,-0.00267,0.00173
197,alley_2,0031,-0.00293,-0.00971
198,shaman_3,0009,-0.00326,-0.00616
199,market_5,0003,-0.00332,0.16892
200,cave_4,0009,-0.00339,-0.01080
201,ambush_7,0007,-0.00345,-0.00215
202,ambush_7,0023,-0.00350,-0.00836
203,ambush_7,0033,-0.00351,-0.00620
204,ambush_7,0035,-0.00356,-0.00505
205,bamboo_1,0035,-0.00374,-0.00057
206,market_5,0001,-0.00376,0.00455
207,alley_2,0033,-0.00401,-0.00804
208,shaman_3,0033,-0.00402,0.00108
209,bamboo_1,0005,-0.00406,0.03032
210,cave_2,0015,-0.00413,0.06306
211,bandage_1,0027,-0.00430,0.00108
212,bamboo_1,0001,-0.00456,0.00471
213,bandage_1,0033,-0.00465,0.00034
214,market_5,0007,-0.00466,0.01108
215,ambush_7,0015,-0.00481,-0.00673
216,ambush_7,0017,-0.00487,-0.00655
217,ambush_7,0013,-0.00545,-0.00621
218,alley_1,0009,-0.00546,-0.01173
219,bandage_1,0035,-0.00573,-0.00235
220,bandage_1,0029,-0.00573,-0.00248
221,bandage_1,0031,-0.00596,-0.00051
222,bandage_1,0017,-0.00640,0.00009
223,cave_4,0001,-0.00725,-0.00365
224,cave_2,0017,-0.00735,-0.01486
225,shaman_2,0035,-0.00750,-0.01040
226,shaman_2,0001,-0.00761,-0.01071
227,bandage_1,0011,-0.00766,-0.00191
228,cave_2,0013,-0.00783,-0.04707
229,ambush_7,0019,-0.00802,-0.01002
230,ambush_7,0021,-0.00820,-0.01062
231,bandage_1,0005,-0.00822,-0.00319
232,ambush_5,0031,-0.00831,-0.16477
233,shaman_2,0003,-0.00895,-0.01230
234,bandage_1,0013,-0.00899,-0.00161
235,shaman_3,0025,-0.00915,-0.00524
236,temple_2,0017,-0.00924,-0.14708
237,shaman_3,0021,-0.01026,-0.00451
238,alley_1,0021,-0.01073,-0.01313
239,bamboo_1,0007,-0.01075,0.00223
240,cave_2,0023,-0.01267,-0.05538
241,bamboo_1,0033,-0.01361,-0.02428
242,mountain_1,0001,-0.01518,-0.08547
243,alley_1,0005,-0.01541,-0.00755
244,alley_1,0023,-0.01665,-0.02086
245,bandage_1,0003,-0.01755,-0.00755
246,alley_1,0007,-0.01789,0.00265
247,alley_1,0031,-0.01982,-0.02857
248,bandage_1,0009,-0.02344,-0.00867
249,alley_1,0035,-0.02347,-0.03200
250,alley_1,0027,-0.02350,-0.02856
251,alley_1,0025,-0.02435,-0.03099
252,bamboo_2,0021,-0.02633,-0.02242
253,temple_2,0023,-0.02778,0.04266
254,bamboo_2,0005,-0.02805,-0.01887
255,alley_1,0029,-0.02824,-0.03574
256,temple_2,0005,-0.02910,-0.06740
257,ambush_5,0011,-0.02944,-0.31380
258,ambush_5,0017,-0.02999,-0.31461
259,bamboo_2,0011,-0.03460,-0.04473
260,ambush_5,0015,-0.03595,0.08246
261,ambush_2,0005,-0.03760,-1.48192
262,bamboo_2,0017,-0.04023,-0.05838
263,bamboo_2,0009,-0.04031,-0.05454
