rank,scene,frame,boundary_reduction
0,scene_d78_ego2,02460,+0.15937
1,ani16_new_,01072,+0.10174
2,ani16_new_,00234,+0.06193
3,ani1_new_f,00456,+0.06065
4,ani16_new_,00162,+0.06015
5,ani1_new_f,00134,+0.05343
6,ani1_new_f,01230,+0.04862
7,ani3_new_,00240,+0.04420
8,ani3_new_,00026,+0.04180
9,ani14_new_f,00350,+0.03812
10,ani14_new_f,00038,+0.03774
11,ani16_new_,00648,+0.03702
12,ani14_new_f,00618,+0.03642
13,ani1_new_f,00614,+0.03636
14,ani14_new_f,01106,+0.03551
15,ani14_new_f,01052,+0.03540
16,scene_d78_ego2,02472,+0.03492
17,ani14_new_f,01082,+0.03322
18,ani14_new_f,00824,+0.03284
19,ani14_new_f,00812,+0.03058
20,ani1_new_,00456,+0.02995
21,ani16_new_,01058,+0.02902
22,ani14_new_f,00008,+0.02861
23,ani16_new_,00448,+0.02695
24,ani14_new_f,00848,+0.02659
25,ani16_new_,00380,+0.02563
26,ani1_new_f,00036,+0.02438
27,cnb_dlab_0215_ego2,02064,+0.02412
28,ani3_new_,01162,+0.02295
29,ani14_new_f,00336,+0.02265
30,r1_new_,01110,+0.02231
31,r1_new_f,00404,+0.02170
32,r1_new_,00922,+0.02162
33,ani14_new_f,00742,+0.02092
34,ani14_new_f,00076,+0.02087
35,ani14_new_f,01304,+0.02038
36,ani1_new_,00086,+0.01943
37,ani1_new_f,00350,+0.01789
38,scene_d78_ego2,03398,+0.01783
39,cnb_dlab_0215_ego2,02304,+0.01709
40,ani3_new_,00900,+0.01704
41,ani1_new_,00184,+0.01644
42,ani16_new_,01010,+0.01562
43,scene_d78_ego2,03400,+0.01421
44,r1_new_f,00384,+0.01314
45,scene_d78_ego2,02578,+0.01215
46,ani1_new_,00054,+0.01213
47,scene_d78_ego1,01874,+0.01101
48,r1_new_,00542,+0.01093
49,ani3_new_,01200,+0.01088
50,scene_d78_3rd,00672,+0.01074
51,ani10_new_f,00784,+0.01051
52,r1_new_f,00658,+0.01021
53,scene_d78_ego1,01862,+0.01006
54,ani14_new_f,00872,+0.00976
55,ani10_new_f,01358,+0.00974
56,ani14_new_f,01000,+0.00965
57,ani1_new_f,01108,+0.00939
58,scene_d78_3rd,02802,+0.00939
59,scene_d78_ego2,02550,+0.00931
60,ani1_new_f,00934,+0.00923
61,scene_d78_ego1,02584,+0.00909
62,r1_new_f,00768,+0.00790
63,scene_d78_ego2,03608,+0.00789
64,scene_d78_ego1,01856,+0.00786
65,scene_d78_ego1,03354,+0.00741
66,scene_d78_ego2,03090,+0.00683
67,scene_d78_3rd,01984,+0.00678
68,scene_d78_3rd,00402,+0.00676
69,scene_d78_3rd,00726,+0.00676
70,scene_d78_3rd,01808,+0.00657
71,egobody_3rd,00402,+0.00650
72,ani14_new_f,00954,+0.00644
73,scene_d78_ego1,03324,+0.00621
74,scene_d78_ego2,00182,+0.00593
75,cnb_dlab_0225_ego2,01280,+0.00565
76,scene_d78_3rd,03414,+0.00554
