rank,scene,frame,boundary_reduction
0,ani16_new_,01072,+0.10174
1,ani1_new_f,00134,+0.05343
2,ani3_new_,00026,+0.04180
3,ani16_new_,00648,+0.03702
4,ani14_new_f,00618,+0.03642
5,ani14_new_f,01106,+0.03551
6,scene_d78_ego2,02472,+0.03492
7,ani14_new_f,01082,+0.03322
8,ani14_new_f,00824,+0.03284
9,ani14_new_f,00812,+0.03058
10,ani1_new_,00456,+0.02995
11,ani14_new_f,00008,+0.02861
12,ani16_new_,00448,+0.02695
13,ani14_new_f,00848,+0.02659
14,ani16_new_,00380,+0.02563
15,ani3_new_,01162,+0.02295
16,ani14_new_f,00336,+0.02265
17,r1_new_,01110,+0.02231
18,r1_new_,00922,+0.02162
19,ani14_new_f,00076,+0.02087
20,ani14_new_f,01304,+0.02038
21,ani1_new_,00086,+0.01943
22,scene_d78_ego2,03398,+0.01783
23,cnb_dlab_0215_ego2,02304,+0.01709
24,r1_new_f,00384,+0.01314
25,ani1_new_,00054,+0.01213
26,scene_d78_ego1,01874,+0.01101
27,ani10_new_f,00784,+0.01051
28,r1_new_f,00658,+0.01021
29,ani14_new_f,00872,+0.00976
30,ani10_new_f,01358,+0.00974
31,ani14_new_f,01000,+0.00965
32,ani1_new_f,01108,+0.00939
33,scene_d78_3rd,02802,+0.00939
34,scene_d78_ego1,02584,+0.00909
35,scene_d78_ego1,01856,+0.00786
36,scene_d78_ego1,03354,+0.00741
37,scene_d78_3rd,00402,+0.00676
38,egobody_3rd,00402,+0.00650
39,ani14_new_f,00954,+0.00644
40,scene_d78_ego2,00182,+0.00593
41,cnb_dlab_0225_ego2,01280,+0.00565
42,scene_d78_3rd,03414,+0.00554
43,scene_d78_ego2,01326,+0.00550
44,cnb_dlab_0225_ego2,01072,+0.00535
45,scene_d78_ego2,00974,+0.00532
46,cnb_dlab_0225_ego2,00814,+0.00524
47,scene_d78_3rd,02250,+0.00523
48,scene_d78_ego1,00656,+0.00500
49,ani10_new_f,01196,+0.00467
50,scene_d78_3rd,02806,+0.00464
51,scene_d78_ego1,01672,+0.00461
52,scene_d78_3rd,00814,+0.00458
53,scene_d78_ego1,02586,+0.00440
54,scene_d78_ego2,02762,+0.00436
55,ani10_new_f,01264,+0.00431
56,r1_new_,00560,+0.00401
57,scene_d78_ego1,00652,+0.00396
58,egobody_3rd,00134,+0.00391
59,scene_d78_ego1,00274,+0.00387
60,scene_d78_ego1,00850,+0.00367
61,ani16_new_,00654,+0.00341
62,egobody_3rd,00822,+0.00341
63,scene_d78_ego1,01740,+0.00340
64,scene_d78_ego1,01662,+0.00337
65,cnb_dlab_0225_ego2,00182,+0.00322
66,cnb_dlab_0225_ego2,00988,+0.00320
67,scene_d78_ego2,03604,+0.00318
68,scene_d78_3rd,00782,+0.00304
69,egobody_3rd,00188,+0.00296
70,ani1_new_,00696,+0.00288
71,scene_d78_ego2,00030,+0.00277
72,scene_d78_ego1,02540,+0.00275
73,scene_d78_ego2,01766,+0.00273
74,scene_d78_ego2,01744,+0.00269
75,scene_recording_20210910_S05_S06_0_ego1,01298,+0.00262
76,cnb_dlab_0225_ego2,00644,+0.00255
77,scene_d78_ego1,03544,+0.00232
78,scene_d78_3rd,01636,+0.00221
79,egobody_3rd,00478,+0.00216
80,ani3_new_,00508,+0.00198
81,scene_d78_ego1,03912,+0.00197
82,egobody_3rd,00242,+0.00193
83,scene_d78_ego2,01346,+0.00192
84,egobody_3rd,00234,+0.00190
85,scene_d78_ego1,02640,+0.00176
86,scene_d78_ego1,01286,+0.00174
87,r1_new_,00506,+0.00158
88,egobody_3rd,00340,+0.00158
89,scene_d78_ego1,03182,+0.00151
90,cnb_dlab_0215_ego2,00544,+0.00145
91,scene_recording_20210910_S05_S06_0_ego1,02036,+0.00143
92,scene_d78_ego2,03758,+0.00139
93,scene_d78_ego1,01174,+0.00136
94,ani3_new_,00296,+0.00135
95,ani1_new_,00630,+0.00128
96,scene_d78_3rd,01520,+0.00126
97,scene_d78_ego1,02006,+0.00110
98,ani3_new_,00702,+0.00108
99,scene_d78_3rd,01632,+0.00104
100,scene_d78_ego2,00644,+0.00087
101,scene_d78_ego2,03138,+0.00087
102,scene_recording_20210910_S05_S06_0_ego1,00818,+0.00076
103,scene_recording_20210910_S05_S06_0_ego1,01904,+0.00075
104,ani1_new_,00682,+0.00068
105,scene_d78_ego1,01538,+0.00056
106,scene_d78_ego2,01612,+0.00048
107,cnb_dlab_0225_ego2,00010,+0.00047
108,ani14_new_f,00476,+0.00043
109,scene_d78_ego2,03418,+0.00033
110,scene_d78_ego1,02114,+0.00030
111,scene_d78_3rd,01826,+0.00023
112,scene_recording_20210910_S05_S06_0_ego1,00948,+0.00018
113,scene_d78_ego1,00496,+0.00010
114,scene_recording_20210910_S05_S06_0_ego1,01900,+0.00000
115,scene_d78_ego2,01356,-0.00002
116,scene_recording_20210910_S05_S06_0_ego1,02986,-0.00005
117,scene_recording_20210910_S05_S06_0_ego1,00842,-0.00013
118,scene_d78_ego1,01726,-0.00025
119,ani16_new_,01506,-0.00030
120,scene_d78_3rd,02586,-0.00031
121,scene_d78_ego1,02558,-0.00040
122,scene_recording_20210910_S05_S06_0_ego1,01324,-0.00043
123,ani10_new_f,00596,-0.00050
124,scene_d78_ego1,01700,-0.00050
125,scene_d78_ego1,03098,-0.00052
126,egobody_3rd,00068,-0.00064
127,cnb_dlab_0215_ego2,02588,-0.00069
128,scene_d78_3rd,00004,-0.00073
129,scene_d78_ego2,03018,-0.00074
130,ani10_new_f,00570,-0.00079
131,ani16_new_,01196,-0.00092
132,scene_recording_20210910_S05_S06_0_ego1,01256,-0.00093
133,scene_recording_20210910_S05_S06_0_ego1,01668,-0.00097
134,scene_d78_ego1,01942,-0.00100
135,r1_new_,00822,-0.00111
136,scene_d78_ego2,02330,-0.00113
137,ani16_new_,01408,-0.00115
138,egobody_3rd,00012,-0.00153
139,scene_d78_ego2,02882,-0.00172
140,scene_d78_ego2,01458,-0.00187
141,cnb_dlab_0225_ego2,02226,-0.00198
