rank,scene,frame,boundary_reduction
0,seasidetown-P003,000048,+212.08742
1,japanesealley-P003,000370,+52.87366
2,soulcity-P002,000454,+39.43685
3,seasidetown-P002,000226,+36.24525
4,soulcity-P005,000572,+31.03934
5,oldtown-P002,001404,+26.33719
6,oldtown-P007,001098,+23.96605
7,oldtown-P002,000090,+20.15625
8,office-P002,000908,+16.86949
9,seasidetown-P008,000214,+14.29812
10,office2-P004,001436,+9.27220
11,abandonedfactory_night-P011,000012,+8.27886
12,soulcity-P010,001212,+6.95523
13,oldtown-P000,000248,+6.23153
14,seasidetown-P004,000158,+6.11143
15,oldtown-P007,000044,+5.53424
16,soulcity-P001,000510,+4.05535
17,abandonedfactory-P004,000586,+2.80464
18,neighborhood-P021,000944,+2.15462
19,office2-P008,001380,+2.09150
20,oldtown-P005,000288,+1.80658
21,office2-P004,000322,+1.61792
22,neighborhood-P003,000260,+1.47737
23,abandonedfactory-P010,000632,+1.21992
24,hospital-P033,000242,+1.21303
25,neighborhood-P014,000030,+1.13529
26,ocean-P004,000468,+1.11839
27,hospital-P007,000736,+1.08459
28,abandonedfactory_night-P004,000174,+0.94443
29,hospital-P006,000208,+0.93734
30,abandonedfactory_night-P001,000462,+0.71770
31,westerndesert-P011,000116,+0.63942
32,abandonedfactory_night-P008,000184,+0.50640
33,neighborhood-P014,000838,+0.47546
34,neighborhood-P001,001902,+0.42821
35,amusement-P003,000472,+0.37967
36,neighborhood-P013,001170,+0.31500
37,ocean-P004,000444,+0.27363
38,abandonedfactory-P002,000006,+0.26825
39,neighborhood-P001,002708,+0.25507
40,endofworld-P002,000588,+0.24297
41,endofworld-P002,000746,+0.23915
42,abandonedfactory-P005,000522,+0.23162
43,hospital-P009,000304,+0.21915
44,neighborhood-P019,000022,+0.18947
45,amusement-P004,000452,+0.18733
46,gascola-P005,000884,+0.15647
47,soulcity-P001,000576,+0.15411
48,amusement-P003,000828,+0.15238
49,endofworld-P004,000270,+0.13406
50,hospital-P034,000110,+0.13123
51,amusement-P003,001402,+0.10138
52,neighborhood-P000,003952,+0.09644
53,amusement-P006,001446,+0.09034
54,office2-P009,000936,+0.07621
55,office-P005,000590,+0.07459
56,abandonedfactory-P011,001536,+0.06918
57,gascola-P007,000536,+0.06824
58,seasonsforest_winter-P002,000308,+0.06055
59,abandonedfactory-P011,002308,+0.05514
60,ocean-P004,000524,+0.05503
61,neighborhood-P000,001524,+0.04738
62,soulcity-P008,001112,+0.03885
63,neighborhood-P000,000010,+0.03830
64,seasonsforest-P002,000252,+0.03574
65,seasonsforest_winter-P005,001022,+0.03379
66,seasonsforest-P003,000148,+0.03218
67,japanesealley-P005,000442,+0.03153
68,neighborhood-P014,000576,+0.03127
69,neighborhood-P001,001050,+0.02833
