family,id,bucket,A,B,FP_A,FP_B,mean,lo,hi,n_pairs,n_design,status
control,C:squared/free,control,position_squared,position,0.2925595238095238,0.0,0.2925595238095238,0.28467261904761904,0.30044642857142856,70,70,PRESENT+
primary,O:grad/free/clean,objective,position+grad,position,0.03251488095238096,0.0,0.03251488095238096,0.02462797619047619,0.041220238095238095,70,70,NEGLIGIBLE
primary,O:grad/cnn_small/clean,objective,position+grad,position,0.04551282051282052,0.07964743589743589,-0.03413461538461538,-0.04519230769230769,-0.023237179487179484,65,70,NEGLIGIBLE
primary,O:grad/cnn_large/clean,objective,position+grad,position,0.02065972222222222,0.08402777777777778,-0.06336805555555555,-0.09600694444444445,-0.04244791666666667,60,70,PRESENT-
primary,O:normal/free/clean,objective,position+normal,position,0.08683035714285714,0.0,0.08683035714285714,0.07797619047619048,0.09587721025910372,70,70,PRESENT+
primary,O:normal/cnn_small/clean,objective,position+normal,position,0.07199754901960785,0.08026960784313723,-0.00827205882352941,-0.016544117647058824,-0.0006127450980392145,68,70,NEGLIGIBLE
primary,O:normal/cnn_large/clean,objective,position+normal,position,0.05998263888888889,0.08559027777777778,-0.025607638888888888,-0.05765446282679739,-0.004340277777777776,60,70,INCONCLUSIVE
primary,O:conf/free/clean,objective,position+conf,position,0.0,0.0,0.0,0.0,0.0,70,70,NEGLIGIBLE
primary,O:conf/cnn_small/clean,objective,position+conf,position,0.10495580808080808,0.08096590909090909,0.023989898989898988,0.00394570707070707,0.051229435903149295,66,70,INCONCLUSIVE
primary,O:conf/cnn_large/clean,objective,position+conf,position,0.11448506289308177,0.08303852201257862,0.031446540880503145,-0.007740675869404365,0.0694368814742879,53,70,INCONCLUSIVE
primary,O:conf_noclip/free/clean,objective,position+conf_noclip,position,0.0,0.0,0.0,0.0,0.0,70,70,NEGLIGIBLE
primary,O:conf_noclip/cnn_small/clean,objective,position+conf_noclip,position,0.08309659090909093,0.08065025252525253,0.002446338383838384,-0.009121662396019014,0.013698682598039294,66,70,NEGLIGIBLE
primary,O:conf_noclip/cnn_large/clean,objective,position+conf_noclip,position,0.0921474358974359,0.08533653846153848,0.006810897435897436,-0.02433894230769231,0.04188495710784332,52,70,NEGLIGIBLE
primary,T:mixed/free,target,mixed,clean,0.2948660714285715,0.0,0.2948660714285715,0.2934523809523809,0.29650297619047616,70,70,PRESENT+
primary,T:mixed/cnn_small,target,mixed,clean,0.2846433080808081,0.08049242424242424,0.20415088383838384,0.1941287878787879,0.2137784090909091,66,70,PRESENT+
primary,T:mixed/cnn_large,target,mixed,clean,0.288422131147541,0.08452868852459017,0.2038934426229508,0.17011699915621986,0.22489754098360656,61,70,PRESENT+
primary,P:cnn_small,predictor,cnn_small,free,0.08026960784313723,0.0,0.08026960784313723,0.06881206296856979,0.09482230392156864,68,70,PRESENT+
primary,P:cnn_large,predictor,cnn_large,free,0.08365885416666666,0.0,0.08365885416666666,0.06595135857077206,0.1144831638710174,64,70,PRESENT+
sensitivity,O:grad/free/clean,objective,position+grad,position,0.03251488095238096,0.0,0.03251488095238096,0.02462797619047619,0.041220238095238095,70,70,NEGLIGIBLE
sensitivity,O:grad/cnn_small/clean,objective,position+grad,position,0.04551282051282052,0.07964743589743589,-0.03413461538461538,-0.04519230769230769,-0.023237179487179484,65,70,NEGLIGIBLE
sensitivity,O:grad/cnn_large/clean,objective,position+grad,position,0.02065972222222222,0.08402777777777778,-0.06336805555555555,-0.09600694444444445,-0.04244791666666667,60,70,PRESENT-
