scene,objective,predictor,target,seed,lr,FP,outside,n_eval,final_loss,rmse_interior,optimizer_gap,settle_frac,pred_std,collapsed,failed
fronto_d0.2,position,free,clean,1000,0.05,0.0,1.0,96,0.0007093304302543402,1.078186352701835e-06,5.574226379412295e-05,0.010247230529785156,0.09826318782520392,False,False
fronto_d0.2,position,free,clean,1001,0.05,0.0,1.0,96,0.0008447476429864764,1.078186352701835e-06,5.574226379412295e-05,0.010247230529785156,0.0981124117543532,False,False
fronto_d0.2,position,free,clean,1002,0.05,0.0,1.0,96,0.0006885008187964559,1.078186352701835e-06,5.7411193847833886e-05,0.010247230529785156,0.09816338782950085,False,False
fronto_d0.2,position,free,clean,1003,0.05,0.0,1.0,96,0.0007171461475081742,1.078186352701835e-06,5.526542663591982e-05,0.010247230529785156,0.09827542860059542,False,False
fronto_d0.2,position,free,clean,1004,0.05,0.0,1.0,96,0.0008291230187751353,1.078186352701835e-06,4.6253204345703125e-05,0.007942914962768555,0.09825080528555079,False,False
fronto_d0.2,position,free,clean,1005,0.05,0.0,1.0,96,0.0008343352819792926,1.078186352701835e-06,5.574226379412295e-05,0.010247230529785156,0.0983239800347651,False,False
fronto_d0.2,position,free,clean,1006,0.05,0.0,1.0,96,0.000667662126943469,1.078186352701835e-06,7.62939453125e-06,0.003154277801513672,0.09825089017410131,False,False
fronto_d0.2,position,free,clean,1007,0.05,0.0,1.0,96,0.0006624560919590294,1.078186352701835e-06,5.7411193847833886e-05,0.010247230529785156,0.09829985764437456,False,False
fronto_d0.2,position,free,clean,1008,0.05,0.0,1.0,96,0.000717143586371094,1.078186352701835e-06,4.6253204345703125e-05,0.007942914962768555,0.09820114346834355,False,False
fronto_d0.2,position,free,clean,1009,0.05,0.0,1.0,96,0.0007405821816064417,1.078186352701835e-06,5.574226379412295e-05,0.010247230529785156,0.09820109829761393,False,False
fronto_d0.2,position,free,mixed,1000,0.05,0.3020833333333333,0.6979166666666666,96,0.0007354400004260242,1.078186352701835e-06,1.1205673217773438e-05,0.00426173210144043,0.09778062644855802,False,False
fronto_d0.2,position,free,mixed,1001,0.05,0.2916666666666667,0.7083333333333334,96,0.0008612972451373935,1.078186352701835e-06,3.571510314914761e-05,0.005614757537841797,0.09761406271711096,False,False
fronto_d0.2,position,free,mixed,1002,0.05,0.2916666666666667,0.7083333333333334,96,0.0006998380995355546,1.078186352701835e-06,2.903938293430386e-05,0.0051081180572509766,0.0976767310257557,False,False
fronto_d0.2,position,free,mixed,1003,0.05,0.2916666666666667,0.7083333333333334,96,0.0007495626923628151,1.078186352701835e-06,3.666877746555386e-05,0.0061798095703125,0.09778491498840858,False,False
fronto_d0.2,position,free,mixed,1004,0.05,0.2916666666666667,0.7083333333333334,96,0.0008594271494075656,1.078186352701835e-06,4.029273986816406e-05,0.007430315017700195,0.09776072661018272,False,False
fronto_d0.2,position,free,mixed,1005,0.05,0.3020833333333333,0.6979166666666666,96,0.0008510418701916933,1.078186352701835e-06,4.9591064453125e-05,0.007933378219604492,0.09783669430565133,False,False
fronto_d0.2,position,free,mixed,1006,0.05,0.2916666666666667,0.7083333333333334,96,0.0006899095023982227,1.078186352701835e-06,3.2377243041725734e-05,0.0055658817291259766,0.09776292639468714,False,False
fronto_d0.2,position,free,mixed,1007,0.05,0.2916666666666667,0.7083333333333334,96,0.0006794502260163426,1.078186352701835e-06,4.0531158447265625e-05,0.0060617923736572266,0.09782027599311129,False,False
fronto_d0.2,position,free,mixed,1008,0.05,0.2916666666666667,0.7083333333333334,96,0.0007366622448898852,1.078186352701835e-06,1.4781951904296875e-05,0.006257295608520508,0.09770753335344474,False,False
fronto_d0.2,position,free,mixed,1009,0.05,0.2916666666666667,0.7083333333333334,96,0.0007664461736567318,1.078186352701835e-06,3.790855407714844e-05,0.0063097476959228516,0.09770750044999274,False,False
fronto_d0.2,position,cnn_small,clean,1000,0.01,0.0625,0.9375,96,0.00019067774701397866,3.5245702665813463e-06,nan,0.0008797645568847656,0.0981329043859513,False,False
fronto_d0.2,position,cnn_small,clean,1001,0.01,0.041666666666666664,0.9583333333333334,96,0.00023024292022455484,2.940376937741574e-05,nan,0.002467036247253418,0.09818026304472312,False,False
fronto_d0.2,position,cnn_small,clean,1002,0.01,0.052083333333333336,0.9479166666666666,96,0.00022263075516093522,2.768829160927931e-05,nan,0.002866983413696289,0.09815226209096914,False,False
fronto_d0.2,position,cnn_small,clean,1003,0.01,0.0625,0.9375,96,0.00019971063011325896,6.774976891447778e-06,nan,0.0032258033752441406,0.09812801862640944,False,False
fronto_d0.2,position,cnn_small,clean,1004,0.01,0.052083333333333336,0.9479166666666666,96,0.0002282559435116127,3.6313294545569066e-06,nan,0.00596165657043457,0.09815652603527059,False,False
fronto_d0.2,position,cnn_small,clean,1005,0.01,0.0625,0.9375,96,0.0002656355209182948,1.4462392502181174e-06,nan,0.003827810287475586,0.09811428099035878,False,False
fronto_d0.2,position,cnn_small,clean,1006,0.01,0.09375,0.90625,96,0.0004136565839871764,9.136660008759075e-07,nan,0.0026726722717285156,0.09809354627936777,False,False
fronto_d0.2,position,cnn_small,clean,1007,0.01,0.09375,0.90625,96,0.0003791151393670589,1.2937433162917296e-06,nan,0.0034093856811523438,0.0980548011728853,False,False
fronto_d0.2,position,cnn_small,clean,1008,0.01,0.08333333333333333,0.9166666666666666,96,0.0002507065364625305,1.2130437348904907e-06,nan,0.0019288063049316406,0.09810184101920179,False,False
fronto_d0.2,position,cnn_small,clean,1009,0.01,0.020833333333333332,0.9791666666666666,96,6.513437983812764e-05,1.0911068452118901e-06,nan,0.004267692565917969,0.0982128325517527,False,False
fronto_d0.2,position,cnn_small,mixed,1000,0.01,0.2916666666666667,0.7083333333333334,96,4.139243173995055e-05,8.74783706593572e-06,nan,0.0007557868957519531,0.09776805386016627,False,False
fronto_d0.2,position,cnn_small,mixed,1001,0.01,0.2708333333333333,0.7291666666666666,96,0.00010430668771732599,3.819728325273203e-05,nan,0.001316666603088379,0.09777075040906723,False,False
fronto_d0.2,position,cnn_small,mixed,1002,0.01,0.2708333333333333,0.7291666666666666,96,6.214642780832946e-05,3.1993903539854254e-05,nan,0.0008231401443481445,0.09776813717153775,False,False
fronto_d0.2,position,cnn_small,mixed,1003,0.01,0.28125,0.71875,96,5.734672231483273e-05,1.658976193162996e-05,nan,0.0023102760314941406,0.09776069016547384,False,False
fronto_d0.2,position,cnn_small,mixed,1004,0.01,0.2604166666666667,0.7395833333333334,96,7.676751556573436e-05,4.793630479241009e-06,nan,0.0026613473892211914,0.09775754067989728,False,False
fronto_d0.2,position,cnn_small,mixed,1005,0.01,0.2708333333333333,0.7291666666666666,96,0.0001440982596250251,6.820776739852865e-05,nan,0.002981424331665039,0.09775312105321657,False,False
fronto_d0.2,position,cnn_small,mixed,1006,0.01,0.28125,0.71875,96,0.000172566287801601,1.3881779543841339e-06,nan,0.0007617473602294922,0.09779317900070496,False,False
fronto_d0.2,position,cnn_small,mixed,1007,0.01,0.28125,0.71875,96,8.895435894373804e-05,1.9408664824731116e-06,nan,0.002982616424560547,0.0977689148036172,False,False
fronto_d0.2,position,cnn_small,mixed,1008,0.01,0.2604166666666667,0.7395833333333334,96,7.193326746346429e-05,8.122937313328385e-07,nan,0.0018131732940673828,0.09775800040722543,False,False
fronto_d0.2,position,cnn_small,mixed,1009,0.01,0.28125,0.71875,96,4.381525286589749e-05,7.071624708911686e-06,nan,0.0013387203216552734,0.0977726749953036,False,False
fronto_d0.2,position,cnn_large,clean,1000,0.01,0.0625,0.9375,96,0.00021176387963350862,2.4090941122513394e-05,nan,0.0008332729339599609,0.0981433683533978,False,False
fronto_d0.2,position,cnn_large,clean,1001,0.01,0.10416666666666667,0.8958333333333334,96,0.00029179328703321517,7.030104567525694e-05,nan,0.0047528743743896484,0.09803168633364777,False,False
fronto_d0.2,position,cnn_large,clean,1002,0.01,0.07291666666666667,0.9270833333333334,96,0.00033452536445111036,4.0210370837840846e-05,nan,0.0009357929229736328,0.09811394950687854,False,False
fronto_d0.2,position,cnn_large,clean,1003,0.01,0.0625,0.9375,96,0.0003612721338868141,0.00014578734774139374,nan,0.0017917156219482422,0.0980738397790476,False,False
fronto_d0.2,position,cnn_large,clean,1004,0.01,0.052083333333333336,0.9479166666666666,96,0.0002917615056503564,0.00010351654876258269,nan,0.007799863815307617,0.09814560535231083,False,False
fronto_d0.2,position,cnn_large,clean,1005,0.01,0.0,1.0,96,0.08157289028167725,0.125916956856724,nan,0.0001800060272216797,0.0,True,True
fronto_d0.2,position,cnn_large,clean,1006,0.01,0.0,1.0,96,0.08146890252828598,0.12591650654376502,nan,0.00010848045349121094,0.0,True,True
fronto_d0.2,position,cnn_large,clean,1007,0.01,0.11458333333333333,0.8854166666666666,96,0.0004526479169726372,0.00016413138286012173,nan,0.004522800445556641,0.09804050156797837,False,False
fronto_d0.2,position,cnn_large,clean,1008,0.01,0.13541666666666666,0.8645833333333334,96,0.0007469998090527952,0.00022116820091850882,nan,0.0027191638946533203,0.09787529560152582,False,False
fronto_d0.2,position,cnn_large,clean,1009,0.01,0.0625,0.9375,96,0.0002752325381152332,8.346294140829008e-05,nan,0.002404451370239258,0.09811701907477442,False,False
fronto_d0.2,position,cnn_large,mixed,1000,0.01,0.28125,0.71875,96,0.00011909293971257284,3.833231731250056e-05,nan,0.003173351287841797,0.0977625881287573,False,False
fronto_d0.2,position,cnn_large,mixed,1001,0.01,0.28125,0.71875,96,0.000285893096588552,9.961750365513732e-05,nan,0.0017905235290527344,0.09772484167474943,False,False
fronto_d0.2,position,cnn_large,mixed,1002,0.01,0.3020833333333333,0.6979166666666666,96,0.0003015294496435672,0.00010162293839633145,nan,0.0032258033752441406,0.09771642276931186,False,False
fronto_d0.2,position,cnn_large,mixed,1003,0.01,0.28125,0.71875,96,0.00026201538275927305,9.956009255865882e-05,nan,0.0034499168395996094,0.09769147480740767,False,False
fronto_d0.2,position,cnn_large,mixed,1004,0.01,0.2708333333333333,0.7291666666666666,96,6.97390059940517e-05,3.077866712266858e-05,nan,0.0017094612121582031,0.0977614002452928,False,False
fronto_d0.2,position,cnn_large,mixed,1005,0.01,0.0,1.0,96,0.08173972368240356,0.12591680675213182,nan,0.0010907649993896484,0.0,True,True
fronto_d0.2,position,cnn_large,mixed,1006,0.01,0.0,1.0,96,0.08164247125387192,0.12591500551828108,nan,0.00026345252990722656,0.0,True,True
fronto_d0.2,position,cnn_large,mixed,1007,0.01,0.375,0.625,96,0.0005362033843994141,0.00020564103468160061,nan,0.0018393993377685547,0.09759688254382509,False,False
fronto_d0.2,position,cnn_large,mixed,1008,0.01,0.28125,0.71875,96,0.00035111527540721,0.0001782595382214793,nan,0.004328489303588867,0.09775083532428097,False,False
fronto_d0.2,position,cnn_large,mixed,1009,0.01,0.2708333333333333,0.7291666666666666,96,0.0002052671043202281,6.841010258654405e-05,nan,0.0010192394256591797,0.09778215876674208,False,False
fronto_d0.2,position+both,free,clean,1000,0.05,0.041666666666666664,0.9583333333333334,96,0.002761191688477993,3.427044347902544e-07,nan,0.003383159637451172,0.09818545384488107,False,False
fronto_d0.2,position+both,free,clean,1001,0.05,0.03125,0.96875,96,0.0031585833057761192,3.477943957768325e-07,nan,0.00647425651550293,0.0980359661269203,False,False
fronto_d0.2,position+both,free,clean,1002,0.05,0.020833333333333332,0.9791666666666666,96,0.0026548421010375023,3.455278708567828e-07,nan,0.0033092498779296875,0.09813291806583367,False,False
fronto_d0.2,position+both,free,clean,1003,0.05,0.07291666666666667,0.9270833333333334,96,0.0027856568340212107,3.4025575640018174e-07,nan,0.0049245357513427734,0.09817579845557868,False,False
fronto_d0.2,position+both,free,clean,1004,0.05,0.08333333333333333,0.9166666666666666,96,0.0031535127200186253,3.451894425941231e-07,nan,0.0035524368286132812,0.0980955644742496,False,False
fronto_d0.2,position+both,free,clean,1005,0.05,0.10416666666666667,0.8958333333333334,96,0.0031452500261366367,3.3692853611922166e-07,nan,0.00561833381652832,0.09816182286346131,False,False
fronto_d0.2,position+both,free,clean,1006,0.05,0.020833333333333332,0.9791666666666666,96,0.002628632355481386,3.5147452563067957e-07,nan,0.006312131881713867,0.09818036492171787,False,False
fronto_d0.2,position+both,free,clean,1007,0.05,0.03125,0.96875,96,0.00260157510638237,3.3992722636182944e-07,nan,0.0049495697021484375,0.09825141100316259,False,False
fronto_d0.2,position+both,free,clean,1008,0.05,0.020833333333333332,0.9791666666666666,96,0.002754159504547715,3.4894722230650315e-07,nan,0.006680488586425781,0.09813968898916892,False,False
fronto_d0.2,position+both,free,clean,1009,0.05,0.0625,0.9375,96,0.002843140624463558,3.608410113597196e-07,nan,0.0034284591674804688,0.0980611838558809,False,False
fronto_d0.2,position+both,free,mixed,1000,0.05,0.3020833333333333,0.6979166666666666,96,0.0021855556406080723,3.491301414946931e-07,nan,0.0023818016052246094,0.0977114058616609,False,False
fronto_d0.2,position+both,free,mixed,1001,0.05,0.3020833333333333,0.6979166666666666,96,0.002479786053299904,3.4832546550060834e-07,nan,0.0034379959106445312,0.09753757772895134,False,False
fronto_d0.2,position+both,free,mixed,1002,0.05,0.2916666666666667,0.7083333333333334,96,0.002074267715215683,3.50526902534027e-07,nan,0.002143383026123047,0.09764309809339812,False,False
fronto_d0.2,position+both,free,mixed,1003,0.05,0.3333333333333333,0.6666666666666666,96,0.002215676475316286,3.310938705643195e-07,nan,0.002410411834716797,0.09770258732178089,False,False
fronto_d0.2,position+both,free,mixed,1004,0.05,0.3333333333333333,0.6666666666666666,96,0.002510663354769349,3.523436203231926e-07,nan,0.003731250762939453,0.0976265976923003,False,False
fronto_d0.2,position+both,free,mixed,1005,0.05,0.34375,0.65625,96,0.0024758048821240664,3.323573161528599e-07,nan,0.003789663314819336,0.09772176830251221,False,False
fronto_d0.2,position+both,free,mixed,1006,0.05,0.3020833333333333,0.6979166666666666,96,0.0020605772733688354,3.4087259610403126e-07,nan,0.0020503997802734375,0.09770822218670568,False,False
fronto_d0.2,position+both,free,mixed,1007,0.05,0.3020833333333333,0.6979166666666666,96,0.0020229879301041365,3.5185081155135693e-07,nan,0.005192756652832031,0.09776735350505598,False,False
fronto_d0.2,position+both,free,mixed,1008,0.05,0.3020833333333333,0.6979166666666666,96,0.002176255453377962,3.3925858829785876e-07,nan,0.003502368927001953,0.09765247186487688,False,False
fronto_d0.2,position+both,free,mixed,1009,0.05,0.3125,0.6875,96,0.002255295170471072,3.4396415245133033e-07,nan,0.0022149085998535156,0.09761078942414697,False,False
fronto_d0.2,position+both,cnn_small,clean,1000,0.01,0.010416666666666666,0.9895833333333334,96,0.0001756196143105626,4.553327732565848e-06,nan,0.007381439208984375,0.09823417486168755,False,False
fronto_d0.2,position+both,cnn_small,clean,1001,0.01,0.020833333333333332,0.9791666666666666,96,0.0004023730580229312,2.7732996502966666e-05,nan,0.0028085708618164062,0.09823242525802871,False,False
fronto_d0.2,position+both,cnn_small,clean,1002,0.01,0.03125,0.96875,96,0.0003736872167792171,2.9724780045101613e-06,nan,0.0028705596923828125,0.09820374122698511,False,False
fronto_d0.2,position+both,cnn_small,clean,1003,0.01,0.020833333333333332,0.9791666666666666,96,0.00036993870162405074,3.4020154508676787e-06,nan,0.005447864532470703,0.09820275678875197,False,False
fronto_d0.2,position+both,cnn_small,clean,1004,0.01,0.020833333333333332,0.9791666666666666,96,0.0004055788740515709,1.9314394405637785e-06,nan,0.00834345817565918,0.0982116117133278,False,False
fronto_d0.2,position+both,cnn_small,clean,1005,0.01,0.13541666666666666,0.8645833333333334,96,0.0018265116959810257,1.455273149586766e-05,nan,0.0009882450103759766,0.0980175344367279,False,False
fronto_d0.2,position+both,cnn_small,clean,1006,0.01,0.041666666666666664,0.9583333333333334,96,0.0005794038297608495,7.925759978992958e-06,nan,0.004017353057861328,0.09819189139134601,False,False
fronto_d0.2,position+both,cnn_small,clean,1007,0.01,0.0,1.0,96,0.08544139564037323,0.12591575602761673,nan,0.0010859966278076172,0.0,True,True
fronto_d0.2,position+both,cnn_small,clean,1008,0.01,0.020833333333333332,0.9791666666666666,96,0.0002653251576703042,1.5875582564338228e-06,nan,0.002257823944091797,0.09822581048564878,False,False
fronto_d0.2,position+both,cnn_small,clean,1009,0.01,0.041666666666666664,0.9583333333333334,96,0.00039744176319800317,6.343051895695529e-07,nan,0.004291534423828125,0.09819625041736345,False,False
fronto_d0.2,position+both,cnn_small,mixed,1000,0.01,0.28125,0.71875,96,0.00011672034452203661,2.5963021507269313e-06,nan,0.0006282329559326172,0.0977745391666802,False,False
fronto_d0.2,position+both,cnn_small,mixed,1001,0.01,0.2708333333333333,0.7291666666666666,96,0.0001274882088182494,6.156356737194884e-06,nan,0.00043511390686035156,0.09777487958658725,False,False
fronto_d0.2,position+both,cnn_small,mixed,1002,0.01,0.2708333333333333,0.7291666666666666,96,0.00015141181938815862,4.470715853188251e-06,nan,0.0010371208190917969,0.0977625373694049,False,False
fronto_d0.2,position+both,cnn_small,mixed,1003,0.01,0.28125,0.71875,96,0.0001110780649469234,1.859122393500911e-06,nan,0.0011897087097167969,0.09777164771189706,False,False
fronto_d0.2,position+both,cnn_small,mixed,1004,0.01,0.2916666666666667,0.7083333333333334,96,0.00011490164615679532,1.3181419437507708e-06,nan,0.0005328655242919922,0.09777218656244452,False,False
fronto_d0.2,position+both,cnn_small,mixed,1005,0.01,0.2604166666666667,0.7395833333333334,96,0.0002585657930467278,9.675452075216742e-06,nan,0.003426074981689453,0.09775789920565589,False,False
fronto_d0.2,position+both,cnn_small,mixed,1006,0.01,0.28125,0.71875,96,0.00015650418936274946,5.189804685402569e-06,nan,0.0010335445404052734,0.09775806037383895,False,False
