scene,objective,predictor,target,seed,lr,final_loss,rmse_interior,optimizer_gap,settle_frac,pred_std,collapsed,failed
fronto_d0.2,position,cnn_small,clean,900,0.01,0.00015374881331808865,9.256427201666233e-07,nan,0.0009751319885253906,0.09817352464790795,False,False
fronto_d0.2,position,cnn_small,clean,900,0.003,0.00011797808110713959,2.3947041816699415e-05,nan,0.002878904342651367,0.09820727709855553,False,False
fronto_d0.2,position,cnn_small,clean,900,0.001,0.0002773564192466438,5.7646547594360674e-05,nan,0.0019812583923339844,0.09811784057196463,False,False
fronto_d0.2,position,cnn_small,clean,900,0.0003,0.00046483747428283095,3.363251881411135e-05,nan,0.0006091594696044922,0.09802989115654605,False,False
fronto_d0.2,position,cnn_small,clean,901,0.01,0.00046274077612906694,1.5466304041293716e-05,nan,0.001302957534790039,0.09803753407926162,False,False
fronto_d0.2,position,cnn_small,clean,901,0.003,0.00023397858603857458,1.4295037176396641e-05,nan,0.0012636184692382812,0.09811991659805598,False,False
fronto_d0.2,position,cnn_small,clean,901,0.001,0.00037493676063604653,3.350923477266807e-05,nan,0.0007736682891845703,0.09805249514340766,False,False
fronto_d0.2,position,cnn_small,clean,901,0.0003,0.0005157263367436826,3.123806199967969e-05,nan,0.0008308887481689453,0.0979675913336659,False,False
fronto_d0.2,position,cnn_small,mixed,900,0.01,3.740585088962689e-05,2.109291275238158e-07,nan,0.001665353775024414,0.09777388761977335,False,False
fronto_d0.2,position,cnn_small,mixed,900,0.003,5.871024040970951e-05,3.226615637099427e-05,nan,0.00034689903259277344,0.09777544466922022,False,False
fronto_d0.2,position,cnn_small,mixed,900,0.001,8.267490920843557e-05,6.591284248597432e-05,nan,0.0005626678466796875,0.09776792942547138,False,False
fronto_d0.2,position,cnn_small,mixed,900,0.0003,0.00011148901103297248,8.313418282004522e-05,nan,0.00029087066650390625,0.09774684518386917,False,False
fronto_d0.2,position,cnn_small,mixed,901,0.01,4.822598202736117e-05,4.623926154333256e-06,nan,0.0007367134094238281,0.09776986034777672,False,False
fronto_d0.2,position,cnn_small,mixed,901,0.003,5.1777682529063895e-05,3.371525033956828e-05,nan,0.0019788742065429688,0.09776591332033543,False,False
fronto_d0.2,position,cnn_small,mixed,901,0.001,6.050219963071868e-05,1.5936957543767795e-05,nan,0.0007927417755126953,0.09777209675292306,False,False
fronto_d0.2,position,cnn_small,mixed,901,0.0003,7.589739107061177e-05,4.4215004391931733e-05,nan,0.00041365623474121094,0.09777362102129401,False,False
fronto_d0.2,position,cnn_large,clean,900,0.01,0.08126048743724823,0.12591680675213182,nan,0.0001442432403564453,0.0,True,True
fronto_d0.2,position,cnn_large,clean,900,0.003,0.0001740356528898701,4.383894959113289e-05,nan,0.0028228759765625,0.09818024829095423,False,False
fronto_d0.2,position,cnn_large,clean,900,0.001,0.00024942736490629613,6.746867424760871e-05,nan,0.0011992454528808594,0.09813210077426379,False,False
fronto_d0.2,position,cnn_large,clean,900,0.0003,0.0005326541140675545,0.00014530959140842973,nan,0.005240440368652344,0.09799923404597288,False,False
fronto_d0.2,position,cnn_large,clean,901,0.01,0.00027383517590351403,1.2952539637190084e-05,nan,0.001989603042602539,0.09813274827440491,False,False
fronto_d0.2,position,cnn_large,clean,901,0.003,0.0002408206055406481,6.621141452453723e-05,nan,0.001596212387084961,0.09816756232412038,False,False
fronto_d0.2,position,cnn_large,clean,901,0.001,0.00027279520872980356,8.138715152439494e-05,nan,0.0018584728240966797,0.09814352765406888,False,False
fronto_d0.2,position,cnn_large,clean,901,0.0003,0.0005736224702559412,0.0001343937247486897,nan,0.0022661685943603516,0.09797093864158285,False,False
fronto_d0.2,position,cnn_large,mixed,900,0.01,0.00010679972911020741,1.4094851199584592e-05,nan,0.0008285045623779297,0.09776154632340633,False,False
fronto_d0.2,position,cnn_large,mixed,900,0.003,7.05456841387786e-05,3.188705032281029e-05,nan,0.0007009506225585938,0.097766888156153,False,False
fronto_d0.2,position,cnn_large,mixed,900,0.001,0.00010565304546616971,9.50308743366901e-05,nan,0.0006926059722900391,0.09778384649998362,False,False
fronto_d0.2,position,cnn_large,mixed,900,0.0003,0.00033500988502055407,0.00016921861946177358,nan,0.0009417533874511719,0.09770198100474294,False,False
fronto_d0.2,position,cnn_large,mixed,901,0.01,0.00020408300042618066,6.0274515867473114e-05,nan,0.003324747085571289,0.09769961817929557,False,False
fronto_d0.2,position,cnn_large,mixed,901,0.003,0.00012355667422525585,5.1248489155601334e-05,nan,0.0008046627044677734,0.09775177284703038,False,False
fronto_d0.2,position,cnn_large,mixed,901,0.001,0.00011982826254097745,0.00010090549165323886,nan,0.0007796287536621094,0.09776690432977744,False,False
fronto_d0.2,position,cnn_large,mixed,901,0.0003,0.000269637064775452,0.00011145646777641721,nan,0.0008487701416015625,0.09772816446313598,False,False
fronto_d0.2,position+grad,cnn_small,clean,900,0.01,0.0001666235039010644,3.704700013604491e-08,nan,0.002504587173461914,0.09824404779996987,False,False
fronto_d0.2,position+grad,cnn_small,clean,900,0.003,0.00019818564760498703,6.253785172659991e-06,nan,0.0014960765838623047,0.09823275168236341,False,False
fronto_d0.2,position+grad,cnn_small,clean,900,0.001,0.0008812954765744507,1.0470408008645908e-05,nan,0.0005221366882324219,0.09814997005995635,False,False
fronto_d0.2,position+grad,cnn_small,clean,900,0.0003,0.0016295613022521138,4.029514116710884e-05,nan,0.000978708267211914,0.09804599681399306,False,False
fronto_d0.2,position+grad,cnn_small,clean,901,0.01,0.00041322095785290003,6.226362617363527e-06,nan,0.0035059452056884766,0.0982593570444293,False,False
fronto_d0.2,position+grad,cnn_small,clean,901,0.003,0.0003722148831002414,1.0262866057528011e-05,nan,0.002065896987915039,0.09821045463806131,False,False
fronto_d0.2,position+grad,cnn_small,clean,901,0.001,0.0009838698897510767,2.0361583845312964e-05,nan,0.0013887882232666016,0.09812630193356178,False,False
fronto_d0.2,position+grad,cnn_small,clean,901,0.0003,0.0017062457045540214,2.9808386876701048e-05,nan,0.0008130073547363281,0.09799173378023748,False,False
fronto_d0.2,position+grad,cnn_small,mixed,900,0.01,0.00013096944894641638,8.790086617531382e-06,nan,0.0027489662170410156,0.09776946463978364,False,False
fronto_d0.2,position+grad,cnn_small,mixed,900,0.003,0.00011331302812322974,7.357840449833735e-06,nan,0.00017881393432617188,0.0977777557055492,False,False
fronto_d0.2,position+grad,cnn_small,mixed,900,0.001,0.00011800500215031207,1.3114872479552352e-05,nan,0.0003516674041748047,0.09777828524013503,False,False
fronto_d0.2,position+grad,cnn_small,mixed,900,0.0003,0.00019226604490540922,2.730299866355363e-05,nan,0.0005459785461425781,0.09776342201955346,False,False
fronto_d0.2,position+grad,cnn_small,mixed,901,0.01,0.00011575533426366746,1.5460883980950434e-07,nan,0.0010913610458374023,0.09777418367108012,False,False
fronto_d0.2,position+grad,cnn_small,mixed,901,0.003,0.00013620576646644622,1.2201570858761241e-05,nan,0.0007963180541992188,0.09777836543289699,False,False
fronto_d0.2,position+grad,cnn_small,mixed,901,0.001,0.00013107371341902763,1.3594083447073986e-05,nan,0.0008928775787353516,0.0977791589116434,False,False
fronto_d0.2,position+grad,cnn_small,mixed,901,0.0003,0.00020354180014692247,3.7519857193799047e-05,nan,8.940696716308594e-05,0.09777897048337181,False,False
fronto_d0.2,position+grad,cnn_large,clean,900,0.01,0.08480559289455414,0.12591680675213182,nan,0.00025153160095214844,0.0,True,True
fronto_d0.2,position+grad,cnn_large,clean,900,0.003,0.00013085601676721126,1.61106290716805e-05,nan,0.00029087066650390625,0.09825138478727971,False,False
fronto_d0.2,position+grad,cnn_large,clean,900,0.001,0.000359175493940711,6.786884801412556e-05,nan,0.004580020904541016,0.09823516440084606,False,False
