dataset,scene,stream,n_eval,FP_all,mean_density,FP_silhouette_like,n_silhouette_like
middlebury,Adirondack-perfect,vggt_point,24249,0.06676563982019877,0.11325963253712851,0.06975141096893714,23211
middlebury,Backpack-perfect,vggt_point,39647,0.22122733119782076,0.11064174674838786,0.22127401721917841,39607
middlebury,Bicycle1-perfect,vggt_point,33468,0.46534002629377313,0.11086570256165092,0.44203890604603774,31409
middlebury,Cable-perfect,vggt_point,15680,0.5800382653061225,0.0867646384228017,0.5800752599017794,15679
middlebury,Classroom1-perfect,vggt_point,12914,0.17438438903515566,0.09148700067276805,0.17428704277743334,12904
middlebury,Couch-perfect,vggt_point,16803,0.160566565494257,0.0921495133951243,0.16052177020668296,16789
middlebury,Flowers-perfect,vggt_point,22481,0.09074329433744051,0.09341424884772599,0.0902470625027923,22383
middlebury,Jadeplant-perfect,vggt_point,51516,0.1622214457644227,0.10183000384568829,0.16324969100076514,50971
middlebury,Mask-perfect,vggt_point,24891,0.14663934755534128,0.10273053010106563,0.14783942937712533,24114
middlebury,Motorcycle-perfect,vggt_point,43054,0.23507688019696196,0.10511856128779062,0.23503962002398363,42529
middlebury,Piano-perfect,vggt_point,18368,0.08841463414634146,0.09433469712351464,0.08886456908344734,18275
middlebury,Pipes-perfect,vggt_point,62428,0.3560741974754918,0.10384677184598694,0.3563276734399817,61073
middlebury,Playroom-perfect,vggt_point,19796,0.29308951303293596,0.09117133983899997,0.2939531099018461,19663
middlebury,Playtable-perfect,vggt_point,36561,0.35961817236946475,0.12052374025487453,0.33271196807736,34333
middlebury,Recycle-perfect,vggt_point,9809,0.28096645937404424,0.10025541428436728,0.2774674115456238,9666
middlebury,Shelves-perfect,vggt_point,18925,0.13072655217965654,0.09479341781561068,0.13001588141874007,18890
middlebury,Shopvac-perfect,vggt_point,7968,0.3771335341365462,0.08126125854288505,0.3763936947327951,7803
middlebury,Sticks-perfect,vggt_point,32195,0.3956204379562044,0.09894688777714093,0.3953922789539228,32120
middlebury,Storage-perfect,vggt_point,10467,0.295213528231585,0.08353222774451398,0.2954393345444115,10459
middlebury,Sword1-perfect,vggt_point,46383,0.1743957915615635,0.11202801792802439,0.1720297859970035,44719
infinigen,1a1f2004/camera_0,vggt_point,175475,0.13974640262145605,0.3245983031105128,0.27531856219094714,42064
infinigen,1f25974d/camera_1,vggt_point,19222,0.08958485069191552,0.3694277411471251,0.04376470588235294,4250
infinigen,22ca3b8b/camera_0,vggt_point,229954,0.03611157014011498,0.35014655495885433,0.05148504737339429,39157
infinigen,22ca3b8b/camera_1,vggt_point,225024,0.03195659129692833,0.33971859227103113,0.04582934292588353,42811
infinigen,2d2c1104/camera_1,vggt_point,210732,0.23381356414782759,0.36373756081820213,0.1659767344372249,38168
infinigen,2e962781/camera_0,vggt_point,90715,0.07508129857245219,0.3741115549035408,0.09703710806405216,20858
infinigen,560a8258/camera_0,vggt_point,249960,0.3701512241958713,0.39955346843746475,0.24858349900596421,40240
infinigen,560a8258/camera_1,vggt_point,249510,0.33036752033986616,0.4010998469480294,0.236645664110934,39519
infinigen,f020c43/camera_1,vggt_point,50986,0.09555564272545404,0.3216422394180014,0.08436785364260045,12244
ibims,corridor_01,vggt_point,2024,0.375,0.22986353914713603,0.34473197781885395,1082
ibims,corridor_02,vggt_point,2847,0.3259571478749561,0.15548842836514068,0.3344594594594595,2368
ibims,corridor_03,vggt_point,2567,0.21036229061160888,0.20147682584768675,0.23903369357914814,1573
ibims,corridor_04,vggt_point,11042,0.322133671436334,0.38819071281713924,0.24285714285714285,1470
ibims,corridor_05,vggt_point,8498,0.4204518710284773,0.38082209765252834,0.3750748951467945,1669
ibims,corridor_06,vggt_point,69,0.36231884057971014,0.1265700483091787,0.36231884057971014,69
ibims,corridor_07,vggt_point,3276,0.2768620268620269,0.17692915206994878,0.34286991506481895,2237
ibims,corridor_08,vggt_point,1735,0.06743515850144093,0.17093426927432692,0.013677811550151976,1316
ibims,corridor_09,vggt_point,1654,0.06711003627569528,0.16581666653915744,0.08195292066259809,1147
ibims,corridor_10,vggt_point,2603,0.012293507491356128,0.14308618260980918,0.012663237039968342,2527
ibims,factory_01,vggt_point,4026,0.18529557873820168,0.19213906670687597,0.19314641744548286,2568
ibims,factory_02,vggt_point,9042,0.3582172085821721,0.2290202079413537,0.33157262905162066,4165
ibims,factory_03,vggt_point,4961,0.1711348518443862,0.21045233764645171,0.18391994478951001,2898
ibims,factory_04,vggt_point,8137,0.23251812707386013,0.23139334461504793,0.21674070610240823,4277
ibims,factory_05,vggt_point,3084,0.23119325551232167,0.18764870757575036,0.22136669874879691,2078
ibims,factory_06,vggt_point,3955,0.10922882427307207,0.19185963846520104,0.13547486033519554,2864
ibims,factory_07,vggt_point,2918,0.08396161754626456,0.18575666508497213,0.08530318602261049,1946
ibims,factory_08,vggt_point,3637,0.20291448996425626,0.1876481339259728,0.1833264205723766,2411
ibims,kitchen_01,vggt_point,4270,0.19765807962529275,0.20426290419615944,0.11468253968253968,2520
ibims,kitchen_02,vggt_point,418,0.14832535885167464,0.14465225541780566,0.16076294277929154,367
ibims,kitchen_03,vggt_point,1334,0.02848575712143928,0.14005655389088673,0.02943454686289698,1291
ibims,kitchen_04,vggt_point,1071,0.04295051353874883,0.14022047271813848,0.04,1025
ibims,kitchen_05,vggt_point,565,0.1752212389380531,0.1370444638940214,0.17805755395683454,556
ibims,kitchen_06,vggt_point,1312,0.24009146341463414,0.14337390745546236,0.2406807131280389,1234
ibims,kitchen_07,vggt_point,1317,0.02733485193621868,0.13045482667730202,0.02733485193621868,1317
ibims,kitchen_08,vggt_point,7400,0.25216216216216214,0.21185189730189732,0.22831945124938754,4082
ibims,lab_01,vggt_point,10012,0.19456652017578904,0.21778837014703972,0.23806142375288478,5633
ibims,lab_02,vggt_point,9161,0.21504202597969654,0.21241540383391708,0.22499569633327596,5809
ibims,lab_03,vggt_point,4485,0.1629877369007804,0.1942578867517552,0.1180327868852459,3050
ibims,lab_04,vggt_point,7336,0.22410032715376227,0.16994535499033867,0.22075370601893196,5599
ibims,lab_05,vggt_point,8707,0.33065349718617204,0.17189394191174368,0.34390318627450983,6528
ibims,lab_06,vggt_point,5678,0.17382881296231067,0.15385742556401236,0.14939212858025963,4853
ibims,lab_07,vggt_point,9075,0.3662809917355372,0.1579898645584596,0.39239031965834087,7727
ibims,lab_08,vggt_point,6745,0.2532246108228317,0.18278988057490653,0.26611317456849465,4577
ibims,lab_09,vggt_point,2921,0.15953440602533378,0.15658528121554482,0.12094513416099319,2497
ibims,lab_10,vggt_point,5259,0.17379729986689485,0.1753578921624177,0.13555675094136632,3718
ibims,lab_11,vggt_point,7273,0.23621614189467896,0.23093316542855935,0.2699055330634278,3705
ibims,lectureroom_01,vggt_point,8071,0.305414446784785,0.24147464289268278,0.290580095795636,3758
ibims,lectureroom_02,vggt_point,1645,0.0364741641337386,0.17932049983113812,0.026936026936026935,1188
ibims,lectureroom_04,vggt_point,8155,0.3781729000613121,0.3189062382085068,0.25900189513581806,3166
ibims,lectureroom_05,vggt_point,11406,0.14878134315272665,0.29456582970610673,0.043871252204585535,4536
ibims,lectureroom_06,vggt_point,8133,0.37550719291774254,0.2772260689204007,0.3460246360582307,2679
ibims,lectureroom_07,vggt_point,17300,0.06630057803468208,0.1936165746477885,0.06991132192204579,9698
ibims,lectureroom_08,vggt_point,12120,0.41905940594059404,0.19646844206703945,0.45596868884540115,6643
ibims,lectureroom_09,vggt_point,14479,0.3956764969956489,0.21892493879233293,0.3933622741912897,7141
ibims,lectureroom_10,vggt_point,12832,0.32644950124688277,0.2567450646183501,0.2801703738760057,4226
ibims,livingroom_01,vggt_point,2993,0.30872034747744737,0.14130552702052868,0.28793774319066145,2827
ibims,livingroom_02,vggt_point,3064,0.20267624020887728,0.19441165593907112,0.09536216779572694,1919
ibims,livingroom_03,vggt_point,7126,0.09332023575638507,0.24544344653381983,0.058146964856230034,3130
ibims,livingroom_04,vggt_point,7414,0.10129484758564877,0.24443240930157573,0.10397766922540126,4299
ibims,livingroom_05,vggt_point,4284,0.2042483660130719,0.21742740297362145,0.19641857862339115,1787
ibims,livingroom_06,vggt_point,4822,0.3125259228535877,0.21004455876396977,0.1662962962962963,2700
ibims,livingroom_07,vggt_point,6675,0.1047191011235955,0.32467748647523936,0.12718064153066966,1777
ibims,livingroom_08,vggt_point,10484,0.14421976344906523,0.2827311338561816,0.12225877192982457,3648
ibims,livingroom_09,vggt_point,3117,0.11004170676932948,0.21235874950985634,0.07119741100323625,1545
ibims,livingroom_10,vggt_point,4597,0.20948444637807265,0.24572019837573458,0.26324859974149073,2321
ibims,livingroom_11,vggt_point,2745,0.30273224043715846,0.23018605330445038,0.16304347826086957,1472
ibims,livingroom_12,vggt_point,9889,0.16452624127818788,0.33524781823345884,0.08091954022988505,2175
ibims,livingroom_13,vggt_point,4554,0.33684672815107597,0.30853124623875616,0.19802677942212826,1419
