stream,eta,tau,beta,n_scenes,FP_model,FP_GT,diff,ci_lo,ci_hi
vggt_point,0.02,1,0.1,128,0.356144,0.126298,0.229847,0.205325,0.253987
vggt_point,0.02,1,0.2,128,0.233459,0.063605,0.169854,0.151401,0.187693
vggt_point,0.02,1,0.3,128,0.145667,0.031832,0.113835,0.100956,0.126187
vggt_point,0.02,2,0.1,128,0.355652,0.126298,0.229355,0.204767,0.253683
vggt_point,0.02,2,0.2,128,0.233191,0.063605,0.169586,0.150986,0.187668
vggt_point,0.02,2,0.3,128,0.145391,0.031832,0.113559,0.100624,0.125981
vggt_point,0.02,3,0.1,128,0.355440,0.126298,0.229142,0.204412,0.253633
vggt_point,0.02,3,0.2,128,0.233087,0.063605,0.169482,0.150811,0.187742
vggt_point,0.02,3,0.3,128,0.145805,0.031832,0.113973,0.101004,0.126571
vggt_point,0.05,1,0.1,128,0.357277,0.062305,0.294971,0.268373,0.321157
vggt_point,0.05,1,0.2,128,0.218864,0.028174,0.190691,0.170134,0.211316
vggt_point,0.05,1,0.3,128,0.131054,0.013091,0.117963,0.104032,0.131781
vggt_point,0.05,2,0.1,128,0.356130,0.062305,0.293825,0.267190,0.320105
vggt_point,0.05,2,0.2,128,0.218393,0.028174,0.190219,0.169624,0.210699
vggt_point,0.05,2,0.3,128,0.130946,0.013091,0.117856,0.103937,0.131676
vggt_point,0.05,3,0.1,128,0.355123,0.062305,0.292818,0.266238,0.319252
vggt_point,0.05,3,0.2,128,0.217966,0.028174,0.189792,0.169150,0.210324
vggt_point,0.05,3,0.3,128,0.130698,0.013091,0.117608,0.103616,0.131503
vggt_point,0.1,1,0.1,128,0.332723,0.036070,0.296653,0.269974,0.323974
vggt_point,0.1,1,0.2,128,0.194225,0.015979,0.178246,0.157419,0.199483
vggt_point,0.1,1,0.3,128,0.110719,0.007263,0.103456,0.089757,0.118103
vggt_point,0.1,2,0.1,128,0.332528,0.036070,0.296459,0.269787,0.323808
vggt_point,0.1,2,0.2,128,0.194020,0.015979,0.178041,0.157177,0.199254
vggt_point,0.1,2,0.3,128,0.110698,0.007263,0.103436,0.089760,0.118040
vggt_point,0.1,3,0.1,128,0.332483,0.036070,0.296413,0.269814,0.323711
vggt_point,0.1,3,0.2,128,0.193992,0.015979,0.178013,0.157125,0.199292
vggt_point,0.1,3,0.3,128,0.110739,0.007263,0.103477,0.089789,0.118061
vggt_depth,0.02,1,0.1,128,0.408280,0.126298,0.281982,0.256014,0.307630
vggt_depth,0.02,1,0.2,128,0.281705,0.063605,0.218099,0.198808,0.236712
vggt_depth,0.02,1,0.3,128,0.180403,0.031832,0.148571,0.135052,0.161830
vggt_depth,0.02,2,0.1,128,0.407684,0.126298,0.281386,0.255397,0.307112
vggt_depth,0.02,2,0.2,128,0.281495,0.063605,0.217890,0.198563,0.236658
vggt_depth,0.02,2,0.3,128,0.180287,0.031832,0.148455,0.134910,0.161815
vggt_depth,0.02,3,0.1,128,0.407381,0.126298,0.281083,0.254979,0.306874
vggt_depth,0.02,3,0.2,128,0.281571,0.063605,0.217966,0.198589,0.236830
